"city","county","state","total_penjualan","population","penjualan_perkapita"
"Bevington","Madison","Iowa","269421.78000000026",23,"11713.99043478258"
"Cedar Rapids","Linn","Iowa","14314964.900000148",2089,"6852.544231689797"
"Sioux City","Woodbury","Iowa","4868396.54000002",816,"5966.172230392092"
"Des Moines","Polk","Iowa","60336706.48999947",11377,"5303.393380504321"
"Arnolds Park","Dickinson","Iowa","4656124.34999998",1022,"4555.894667318988"
"Saint Lucas","Fayette","Iowa","488045.8299999995",118,"4135.981610169504"
"Mount Vernon","Linn","Iowa","15674630.699999925",6023,"2602.4623443466635"
"Davenport","Scott","Iowa","37321900.740001805",15521,"2404.606709619315"
"Des Moines","Polk","Iowa","49753670.52000113",22687,"2193.0475831975054"
"Bancroft","Kossuth","Iowa","1958164.130000006",1120,"1748.3608303571364"
"Coralville","Johnson","Iowa","34444353.61000126",20909,"1647.3458132860892"
"Templeton","Carroll","Iowa","756465.9600000001",462,"1637.3722077922093"
"Des Moines","Polk","Iowa","25191079.15999973",15738,"1600.6531427118493"
"Floyd","Floyd","Iowa","994638.029999997",718,"1385.2897353760359"
"West Des Moines","Polk","Iowa","39066683.23000115",29636,"1318.2171423269258"
"Spirit Lake","Dickinson","Iowa","10576150.350000042",8312,"1272.3953741578366"
"Waterloo","Black Hawk","Iowa","24677570.469999284",19446,"1269.0306731461205"
"Des Moines","Polk","Iowa","10991108.779999848",8698,"1263.6363278914828"
"Milford","Dickinson","Iowa","5378843.939999953",4509,"1192.9128276779675"
"Ames","Story","Iowa","40612238.8200057",34165,"1188.708878091495"
"Iowa City","Johnson","Iowa","40816802.66000353",36402,"1121.279123674561"
"Council Bluffs","Pottawattamie","Iowa","37248139.61000016",35426,"1051.4350931519896"
"Ankeny","Polk","Iowa","29600073.7200016",28306,"1045.71729385996"
"Cedar Rapids","Linn","Iowa","8369244.709999952",8033,"1041.8579248101992"
"Waterloo","Black Hawk","Iowa","20102725.629999027",19306,"1041.2682912046707"
"De Witt","Clinton","Iowa","7728035.72999996",7541,"1024.8025102771583"
"West Burlington","Des Moines","Iowa","4213414.330000026",4163,"1012.1100960845403"
"Cedar Rapids","Linn","Iowa","42007649.620001",41531,"1011.4769598612795"
"Sioux City","Woodbury","Iowa","4760937.560000027",5084,"936.455066876422"
"Wesley","Kossuth","Iowa","561609.9199999974",604,"929.8177483443749"
"Pleasant Valley","Scott","Iowa","89757.39000000009",103,"871.4309708737853"
"Clear Lake","Cerro Gordo","Iowa","8087765.899999971",9374,"862.7870599530788"
"Mason City","Cerro Gordo","Iowa","24820008.99000033",28957,"857.1333007563003"
"Keokuk","Lee","Iowa","10736546.370000003",12577,"853.6651323845277"
"Algona","Kossuth","Iowa","5628626.659999901",6767,"831.7757736072084"
"Carroll","Carroll","Iowa","10064845.00000007",12164,"827.4288885235547"
"Toledo","Tama","Iowa","2829106.450000005",3436,"823.3720750873085"
"Sioux City","Woodbury","Iowa","21525921.749999482",26474,"813.0966892044894"
"West Des Moines","Polk","Iowa","26074437.110000648",32532,"801.5012022009273"
"Davenport","Scott","Iowa","22041989.229999296",27648,"797.2363002748962"
"Sheldon","O'Brien","Iowa","4586816.579999927",5845,"784.7419298545693"
"Earling","Shelby","Iowa","509364.4099999999",651,"782.4338095238102"
"Altoona","Polk","Iowa","15315127.52",19840,"771.9318306451545"
"Urbandale","Polk","Iowa","23444687.629999723",31118,"753.4124182145385"
"Washington","Washington","Iowa","7128722.899999931",9488,"751.3409464586925"
"Melcher Dallas","Marion","Iowa","526562.8199999981",701,"751.1595149785974"
"Larchwood","Lyon","Iowa","1364816.4000000039",1835,"743.7691553133504"
"Dubuque","Dubuque","Iowa","12703402.779999934",17170,"739.8603832265709"
"Davenport","Scott","Iowa","875438.610000003",1191,"735.0450125944526"
"Denison","Crawford","Iowa","6877994.169999978",9633,"714.0033395619373"
"Iowa Falls","Hardin","Iowa","4615293.75000003",6470,"713.3375193199347"
"Atlantic","Cass","Iowa","5889839.169999991",8350,"705.369960479051"
"Lake View","Sac","Iowa","1022513.8800000006",1486,"688.0981695827722"
"Sioux City","Woodbury","Iowa","2168079.430000012",3166,"684.8008307012003"
"Bettendorf","Scott","Iowa","25505863.759999715",37476,"680.5919457786124"
"Spencer","Clay","Iowa","8313353.499999884",12232,"679.6397563767064"
"Emmetsburg","Palo Alto","Iowa","3012084.159999987",4447,"677.32947155387"
"Storm Lake","Buena Vista","Iowa","8502868.630000079",12572,"676.3338076678424"
"Humboldt","Humboldt","Iowa","3741255.2000000067",5557,"673.250890768395"
"Cedar Falls","Black Hawk","Iowa","29404021.830001056",43717,"672.5992595557848"
"Waverly","Bremer","Iowa","8307579.64999996",12526,"663.2268601309187"
"Fort Dodge","Webster","Iowa","18565730.05999962",28077,"661.2433685935054"
"Shenandoah","Page","Iowa","3736334.780000018",5684,"657.3425017593245"
"Harlan","Shelby","Iowa","4331186.190000012",6716,"644.9056268612256"
"Grimes","Polk","Iowa","9194064.450000014",14472,"635.3001969320238"
"Ida Grove","Ida","Iowa","1687454.040000002",2693,"626.607515781661"
"Le Mars","Plymouth","Iowa","7325295.140000012",12026,"609.1214984200828"
"Sioux City","Woodbury","Iowa","6406004.219999998",10531,"608.2997075301414"
"Mapleton","Monona","Iowa","1062930.210000001",1757,"604.9688161639152"
"Sac City","Sac","Iowa","1574698.0699999947",2628,"599.200178843236"
"Holstein","Ida","Iowa","1148800.9000000027",1924,"597.0898648648684"
"Creston","Union","Iowa","5439205.190000001",9383,"579.6872205051692"
"Oelwein","Fayette","Iowa","3802593.139999977",6669,"570.1894047083512"
"Davenport","Scott","Iowa","6009758.830000082",10562,"568.998185002863"
"Des Moines","Polk","Iowa","4565634.150000026",8040,"567.8649440298509"
"Dubuque","Dubuque","Iowa","24342183.209999457",43328,"561.8118355335872"
"Montezuma","Poweshiek","Iowa","1375968.899999985",2468,"557.5238654781215"
"Waukon","Allamakee","Iowa","3405685.0399999963",6128,"555.7580026109677"
"Jefferson","Greene","Iowa","2759789.330000013",5024,"549.3211246019088"
"Red Oak","Montgomery","Iowa","3495008.639999997",6380,"547.8069968652061"
"Centerville","Appanoose","Iowa","3959794.920000011",7309,"541.7697249965775"
"Des Moines","Polk","Iowa","20576674.7499986",37983,"541.7337953821194"
"Cedar Rapids","Linn","Iowa","21768633.929999344",40279,"540.4462357555724"
"Osceola","Clarke","Iowa","3752295.1199999494",6953,"539.6656292247925"
"Swisher","Johnson","Iowa","1878344.349999996",3489,"538.361808541128"
"West Bend","Palo Alto","Iowa","566034.2899999996",1052,"538.0554087452471"
"Waukee","Dallas","Iowa","13649226.379999688",25402,"537.328807967886"
"Cresco","Howard","Iowa","3066270.080000009",5722,"535.8738343236648"
"Muscatine","Muscatine","Iowa","16083894.380000092",30263,"531.470587185722"
"Stuart","Guthrie","Iowa","1217090.0400000014",2293,"530.7850152638455"
"Anamosa","Jones","Iowa","4666203.040000019",8855,"526.9568650479914"
"Marshalltown","Marshall","Iowa","16160915.919999685",30828,"524.228490982215"
"Baldwin","Jackson","Iowa","247058.9199999997",472,"523.4299152542376"
"Marquette","Clayton","Iowa","134016.38",257,"521.4645136186771"
"Janesville","Bremer","Iowa","1143410.8800000004",2194,"521.15354603464"
"Pocahontas","Pocahontas","Iowa","1035638.5299999982",1996,"518.856978957916"
"Dyersville","Dubuque","Iowa","2942026.1499999557",5776,"509.3535578254807"
"Forest City","Winnebago","Iowa","2864540.020000011",5652,"506.81882873318744"
"Ottumwa","Wapello","Iowa","14769160.490000008",29478,"501.02315252053324"
"Independence","Buchanan","Iowa","4530180.659999931",9046,"500.79379394206717"
"Clinton","Clinton","Iowa","13341335.599999823",26721,"499.2827963025457"
"Cherokee","Cherokee","Iowa","3135303.0000000177",6317,"496.327845496273"
"Mount Pleasant","Henry","Iowa","6058962.989999859",12247,"494.73038213441646"
"Boone","Boone","Iowa","8199035.040000054",16676,"491.6667690093394"
"Grinnell","Poweshiek","Iowa","5602366.369999902",11411,"490.96191131365265"
